iter	Passed	Remaining
1560	36636	198060
1561	36659	198037
1562	36688	198043
1563	36712	198020
1564	36735	197993
1565	36757	197966
1566	36781	197944
1567	36805	197922
1568	36827	197893
1569	36849	197861
1570	36871	197829
1571	36893	197800
1572	36918	197783
1573	36941	197754
1574	36962	197722
1575	36994	197742
1576	37017	197714
1577	37038	197680
1578	37061	197652
1579	37084	197627
1580	37106	197598
1581	37128	197567
1582	37152	197542
1583	37175	197516
1584	37198	197492
1585	37222	197472
1586	37244	197442
1587	37268	197417
1588	37290	197388
1589	37325	197426
1590	37347	197395
1591	37370	197366
1592	37392	197336
1593	37414	197304
1594	37435	197271
1595	37457	197240
1596	37481	197215
1597	37503	197186
1598	37525	197155
1599	37548	197129
1600	37571	197105
1601	37594	197076
1602	37625	197092
1603	37649	197074
1604	37672	197046
1605	37695	197021
1606	37722	197016
1607	37748	197006
1608	37772	196985
1609	37802	196997
1610	37837	197030
1611	37859	197003
1612	37882	196973
1613	37904	196943
1614	37926	196913
1615	37952	196901
1616	37976	196880
1617	37999	196853
1618	38023	196836
1619	38045	196805
1620	38068	196777
1621	38089	196741
1622	38114	196723
1623	38137	196698
1624	38160	196672
1625	38182	196644
1626	38206	196622
1627	38230	196601
1628	38252	196570
1629	38275	196540
1630	38296	196506
1631	38317	196472
1632	38339	196442
1633	38361	196408
1634	38383	196379
1635	38406	196351
1636	38439	196377
1637	38461	196348
1638	38486	196332
1639	38510	196311
1640	38533	196284
1641	38556	196256
1642	38578	196226
1643	38602	196206
1644	38624	196173
1645	38647	196146
1646	38668	196112
1647	38692	196091
1648	38715	196064
1649	38737	196036
1650	38761	196014
1651	38784	195988
1652	38820	196030
1653	38853	196051
1654	38874	196018
1655	38897	195991
1656	38919	195957
1657	38941	195928
1658	38964	195900
1659	38986	195873
1660	39012	195862
1661	39036	195838
1662	39059	195811
1663	39081	195781
